,ra,dec,psfmag_i,mjd_i,run
25.68871448,14.65759383,0.73328209,12.502178,5.40003224E4,6383
25.16849129,14.66183435,0.73325365,20.779526,5.40003224E4,6383
24.52588371,14.65776597,0.7335639,12.519728,5.4006269E4,6409
25.61441372,14.65760966,0.73329835,13.129112,5.40073723E4,6414
24.79274407,14.66198948,0.7334067,20.97167,5.40073723E4,6414
21.88786225,14.66304026,0.73473461,21.413271,5.40073723E4,6414
25.60533232,14.65757697,0.73331278,12.540963,5.40092963E4,6421
24.73596728,14.6620265,0.73343448,21.310781,5.40092963E4,6421
25.49764474,14.65806843,0.73318575,17.185244,5.40253595E4,6461
25.03894613,14.66217865,0.7333947,21.395802,5.40253595E4,6461
25.69979062,14.6575457,0.73329625,12.535628,5.40253595E4,6461
25.67497747,14.6575807,0.73329086,12.585128,5.402929E4,6474
25.04765968,14.66205424,0.73335243,21.177078,5.402929E4,6474
25.70756421,14.6575858,0.73327941,12.518137,5.4031277E4,6484
25.12395902,14.66215216,0.7333612,21.331875,5.4031277E4,6484
25.10992577,14.66204072,0.73333018,20.855583,5.40362818E4,6504
25.68685286,14.65760823,0.7332775,12.511072,5.40392797E4,6513
25.11899384,14.66199165,0.73331274,21.221161,5.40392797E4,6513
25.67417708,14.65758573,0.73328929,12.509547,5.40412504E4,6524
25.17186874,14.66217323,0.73335406,21.4557,5.40482743E4,6533
25.70541418,14.65759886,0.73327537,12.499025,5.40522786E4,6552
24.70639838,14.66217078,0.73348941,21.394423,5.40522786E4,6552
25.45210559,14.65782777,0.73327189,13.050132,5.40552746E4,6564
24.65165206,14.66190424,0.73342237,21.152985,5.40552746E4,6564
25.63189204,14.65761868,0.73328999,12.508063,5.40582733E4,6577
24.77791646,14.66212537,0.73345356,21.02487,5.40582733E4,6577
25.15353954,14.66207707,0.73332872,21.486696,5.40632636E4,6600
25.63407463,14.65759917,0.7332963,12.52142,5.43483573E4,6934
25.05613898,14.66212776,0.73337312,21.408499,5.43483573E4,6934
25.64786979,14.65763482,0.73327958,12.473666,5.43593071E4,6963
25.62835681,14.65762023,0.73329048,12.513315,5.43653463E4,6982
25.67548237,14.65758876,0.73328781,12.51727,5.4381366E4,7034
24.80187916,14.66211582,0.73344348,21.334543,5.43843725E4,7047
24.14561005,14.66209385,0.73362804,21.029655,5.43863581E4,7054
24.94445749,14.66210897,0.73339968,21.214146,5.43933485E4,7080
20.78157816,14.66154273,0.73443727,20.931768,5.43962297E4,7095
25.15286513,14.66211314,0.73334025,21.246597,5.44032763E4,7106
25.14470445,14.66204304,0.73332079,21.240627,5.44043336E4,7112
25.0980897,14.66214323,0.73336586,21.324009,5.44053316E4,7117
25.59478707,14.65760641,0.7333053,12.520745,5.440627E4,7121
24.92302433,14.66204296,0.73338518,21.366011,5.440627E4,7121
24.91664552,14.66203462,0.73338447,21.482946,5.44122731E4,7140
24.98654341,14.66216535,0.73340565,21.369417,5.44212746E4,7170
25.5660204,14.65761689,0.73331005,12.448799,5.44312786E4,7195
25.69388212,14.65757442,0.73328755,12.507601,5.44322666E4,7199
25.66485535,14.65759388,0.73328912,12.519397,5.4433274E4,7202
57.45565734,14.64569416,0.73292219,15.663647,0,206
53.90417567,14.64752493,0.73171746,18.61022,0,206
42.78218627,14.65050375,0.73285407,21.398979,0,206
57.92086848,14.67416739,0.74762752,20.439558,0,206
48.13285698,14.64996748,0.74883905,21.056065,0,206
52.40335175,14.64987256,0.75045675,21.02696,0,206
41.6738447,14.65484113,0.7503632,20.084106,0,206
57.3025035,14.65515077,0.75516085,20.981571,0,206
53.94975138,14.6475276,0.73169059,18.642994,5.10753398E4,94
57.5632652,14.6456768,0.73288991,15.695023,5.10753398E4,94
47.83138134,14.64997066,0.74871552,20.984863,5.10753398E4,94
52.46059922,14.64987656,0.75048274,21.062531,5.10753398E4,94
42.93401269,14.65053315,0.73274564,21.436058,5.10753398E4,94
41.48003131,14.65488037,0.75032258,20.044641,5.10753398E4,94
57.89909141,14.67417372,0.74760297,20.445225,5.10753398E4,94
57.30896052,14.65515589,0.75516437,20.97789,5.10753398E4,94
57.57392312,14.64567267,0.73289156,15.661686,5.21963589E4,2650
53.99419279,14.64751291,0.73169037,18.585659,5.21963589E4,2650
42.77555626,14.6505588,0.73278454,21.265064,5.21963589E4,2650
41.69793144,14.65483406,0.75036715,20.032312,5.21963589E4,2650
57.87662692,14.674164,0.74760788,20.472845,5.21963589E4,2650
52.54883981,14.64984794,0.75048917,20.875919,5.21963589E4,2650
48.17417607,14.64998095,0.74887163,20.949661,5.21963589E4,2650
57.14830974,14.65513959,0.75511229,20.920767,5.21963589E4,2650
57.45613771,14.64569543,0.73291934,15.656347,5.21973531E4,2662
53.87149781,14.64753553,0.73171792,18.597321,5.21973531E4,2662
42.98640026,14.65046327,0.73281354,21.405653,5.21973531E4,2662
57.94395005,14.67417732,0.7476226,20.436562,5.21973531E4,2662
52.308384,14.64991982,0.75046572,20.937368,5.21973531E4,2662
48.13902418,14.64995712,0.74882988,20.98419,5.21973531E4,2662
41.6706034,14.65487005,0.75037654,20.039968,5.21973531E4,2662
57.32588374,14.65515374,0.75516862,20.903488,5.21973531E4,2662
57.51974096,14.64568262,0.73290539,15.687577,5.22073254E4,2677
53.93717067,14.64752375,0.73170267,18.623549,5.22073254E4,2677
41.59800463,14.65481947,0.75032883,20.081169,5.22073254E4,2677
48.18412894,14.64993028,0.74881829,21.114832,5.22073254E4,2677
52.33911919,14.64987827,0.75043743,21.166557,5.22073254E4,2677
57.23801245,14.65514579,0.75514045,21.245087,5.22073254E4,2677
57.88481468,14.67416425,0.74761221,20.466745,5.22073259E4,2677
57.55122836,14.64567308,0.73290493,15.64926,5.22252034E4,2708
53.98381245,14.64750934,0.73170094,18.585234,5.22252034E4,2708
41.64790518,14.65483396,0.75035157,20.046875,5.22252034E4,2708
42.92581825,14.6504724,0.73282939,21.318264,5.22252034E4,2708
59.83776545,14.65558212,0.72397617,21.434311,5.22252034E4,2708
57.89931412,14.67416833,0.74761314,20.440468,5.22252034E4,2708
52.38883939,14.64985427,0.75043339,20.92333,5.22252034E4,2708
48.04825026,14.64999662,0.74883655,21.045843,5.22252034E4,2708
57.25145614,14.65509331,0.75512745,20.883469,5.22252034E4,2708
57.54178823,14.64567597,0.732905,15.67844,5.22312394E4,2728
53.97135496,14.64751492,0.7316988,18.615414,5.22312394E4,2728
42.89163502,14.65048998,0.73282184,21.468172,5.22312394E4,2728
41.65090832,14.65483315,0.7503521,20.108011,5.22312394E4,2728
57.87187559,14.67415821,0.74761586,20.457623,5.22312394E4,2728
52.43992108,14.64988661,0.75048445,21.096786,5.22312394E4,2728
48.0038911,14.64999063,0.74881113,21.229052,5.22312394E4,2728
57.19406844,14.65514564,0.75512758,21.104746,5.22312394E4,2728
57.50588849,14.64569197,0.7328952,15.661197,5.22532254E4,2768
53.94022426,14.64752683,0.73169652,18.595171,5.22532254E4,2768
42.8363136,14.65048381,0.73285558,21.188055,5.22532254E4,2768
41.52614161,14.65486865,0.75033106,20.061804,5.22532254E4,2768
59.98361276,14.65551327,0.72395324,21.075644,5.22532254E4,2768
57.94103117,14.67419629,0.74758549,20.513292,5.22532254E4,2768
52.27078448,14.64988511,0.75041763,20.925262,5.22532254E4,2768
47.79862175,14.65001194,0.74874899,21.002964,5.22532254E4,2768
57.21393948,14.65517045,0.75514131,21.04578,5.22532254E4,2768
57.42957184,14.64570397,0.7329187,15.660917,5.25573473E4,3384
53.86725949,14.64753862,0.73171539,18.587891,5.25573473E4,3384
59.58830585,14.6555239,0.7240643,21.268274,5.25573473E4,3384
57.95292206,14.67417904,0.74762466,20.424149,5.25573473E4,3384
52.37668565,14.6498578,0.75043211,20.969816,5.25573473E4,3384
48.14106335,14.64998969,0.74886763,21.106216,5.25573473E4,3384
42.79533599,14.6505139,0.73283455,21.450815,5.25573473E4,3384
41.6333757,14.65485601,0.75035804,20.154449,5.25573473E4,3384
57.31644689,14.65513402,0.75515955,21.035545,5.25573473E4,3384
57.45440958,14.64569645,0.73291834,15.658335,5.25782433E4,3437
53.88715634,14.64753312,0.73171368,18.603308,5.25782433E4,3437
42.76415366,14.65046389,0.73291575,21.376883,5.25782433E4,3437
41.65071229,14.65484868,0.75035978,20.091917,5.25782433E4,3437
59.91082561,14.65550455,0.72397667,21.343151,5.25782433E4,3437
57.27333334,14.65517317,0.75515949,20.943335,5.25782433E4,3437
57.90097653,14.67417326,0.74760493,20.424566,5.25782433E4,3437
52.23214537,14.6498953,0.75041256,21.034966,5.25782433E4,3437
48.07538595,14.65000867,0.74886154,21.080757,5.25782433E4,3437
57.45311393,14.645699,0.73291402,15.681298,5.29083219E4,4128
53.90284124,14.6475332,0.7317057,18.62627,5.29083219E4,4128
57.94648154,14.67418214,0.74761511,20.404558,5.29083219E4,4128
41.6484456,14.65484474,0.75035712,20.127853,5.29083219E4,4128
52.3145497,14.6498996,0.75044858,21.09963,5.29083219E4,4128
47.92618182,14.64996858,0.74875322,21.202074,5.29083219E4,4128
57.23799938,14.65517966,0.75515126,21.02099,5.29083219E4,4128
57.49478986,14.64569161,0.73290286,15.647897,5.29342539E4,4198
53.93345996,14.64752816,0.7316979,18.570871,5.29342539E4,4198
42.95513917,14.65052571,0.7327457,21.227518,5.29342539E4,4198
57.89675564,14.67417037,0.74760783,20.443102,5.29342539E4,4198
52.28336856,14.64985994,0.75039802,20.85121,5.29342539E4,4198
47.84945136,14.65003979,0.74880201,20.96382,5.29342539E4,4198
41.40572571,14.65060047,0.7466295,21.489418,5.29342539E4,4198
41.40742837,14.65487851,0.75029914,20.016535,5.29342539E4,4198
57.2394983,14.65516218,0.75514612,20.787397,5.29342539E4,4198
57.41650458,14.64570338,0.73292808,15.65903,5.29362496E4,4207
53.85445581,14.64753736,0.7317237,18.594004,5.29362496E4,4207
42.74414247,14.65051779,0.732853,21.434084,5.29362496E4,4207
